2026-03-04 10:12:57.454 INFO  [27072] [CommandManager::CServerCommandManager::LoadSolution@1235] [Load Solution] end

2026-03-04 10:12:57.454 INFO  [16792] [CallbackManager::CServerMsgCallbackManager::ParseLoadSolBeginInfo@2079] [Load Solution] [Asyn Begin] SDK: Callback load solution start information start.

2026-03-04 10:12:57.459 INFO  [16792] [CallbackManager::CServerMsgCallbackManager::ParseLoadSolBeginInfo@2096] [Load Solution] SDK: Callback load solution start information end. ClientType:[1] Path:[F:\竞赛资料\智启杯\方案\1\study1.sol]

2026-03-04 10:12:57.460 INFO  [16792] [CallbackManager::CServerMsgCallbackManager::ParseLoadSolProgressInfo@2265] [Load Solution] SDK: Cb load solution process:[15]

2026-03-04 10:12:57.460 INFO  [16792] [CommunicationDll::CCommunicationDllScript::ExchangeMsgEx@222] start

2026-03-04 10:12:57.460 INFO  [16792] [CommunicationDll::CCommunicationDllScript::ExchangeMsgEx@226] m_fnGScriptMsgDeal:[4007]

2026-03-04 10:12:57.467 INFO  [16792] [CommunicationDll::CCommunicationDllScript::ExchangeMsgEx@230] end

2026-03-04 10:12:57.497 INFO  [5288] [CallbackManager::CServerMsgCallbackManager::ParseGlobalProcessObjectInfo@4593] SDK: Cb global and process object information start.

2026-03-04 10:12:57.505 INFO  [5288] [CallbackManager::CServerMsgCallbackManager::ParseGlobalProcessObjectInfo@4607] SDK: Cb global and process object information end.

2026-03-04 10:12:57.508 INFO  [27072] [CommandManager::CServerCommandManager::GetAllProcessList@3678] start

2026-03-04 10:12:57.508 INFO  [27072] [CommandManager::CServerCommandManager::GetAllProcessList@3714] end

2026-03-04 10:12:57.559 ERROR [27072] [CommandRouting::CCommandRoutingDll::ReadBinaryData@287] GetBinaryData fail. nRet = [E0000001]

2026-03-04 10:12:57.559 ERROR [27072] [CommandRouting::ICommandRouting::GetBinaryData@211] ReadBinaryData fail. nRet = [E0000001]

2026-03-04 10:12:57.559 ERROR [27072] [CommandManager::CServerCommandManager::GetUIParamValueByKey@5699] SDK: GetUIParamValueByKey GetBinaryData failed

2026-03-04 10:12:57.559 INFO  [27072] [CommandManager::CServerCommandManager::CheckUIParamExist@3943] start

2026-03-04 10:12:57.559 INFO  [27072] [CommandManager::CServerCommandManager::CheckUIParamExist@3951] end

2026-03-04 10:12:57.560 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6529] start

2026-03-04 10:12:57.560 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6688] end

2026-03-04 10:12:57.567 INFO  [27072] [CommandManager::CServerCommandManager::GetAllGlobalModule@9908] start.

2026-03-04 10:12:57.567 WARN  [27072] [CommandManager::CServerCommandManager::GetAllGlobalModule@9930] SDK: Module list is null.

2026-03-04 10:12:57.567 INFO  [27072] [CommandManager::CServerCommandManager::GetAllGlobalModule@9960] end.

2026-03-04 10:12:57.577 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10823] start.

2026-03-04 10:12:57.577 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10859] end.

2026-03-04 10:12:57.579 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6529] start

2026-03-04 10:12:57.579 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6688] end

2026-03-04 10:12:57.579 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10823] start.

2026-03-04 10:12:57.579 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10859] end.

2026-03-04 10:12:57.579 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6529] start

2026-03-04 10:12:57.579 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6688] end

2026-03-04 10:12:57.579 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10823] start.

2026-03-04 10:12:57.579 ERROR [27072] [CommandRouting::CCommandRoutingDll::ReadBinaryData@287] GetBinaryData fail. nRet = [E0000001]

2026-03-04 10:12:57.579 ERROR [27072] [CommandRouting::ICommandRouting::GetBinaryData@211] ReadBinaryData fail. nRet = [E0000001]

2026-03-04 10:12:57.579 ERROR [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10849] SDK: FuzzyQueryUIParamValue GetBinaryData failed

2026-03-04 10:12:57.579 ERROR [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10856] catch... nRet = [e0000001]

2026-03-04 10:12:57.643 ERROR [27072] [CommandRouting::CCommandRoutingDll::ReadBinaryData@287] GetBinaryData fail. nRet = [E0000001]

2026-03-04 10:12:57.643 ERROR [27072] [CommandRouting::ICommandRouting::GetBinaryData@211] ReadBinaryData fail. nRet = [E0000001]

2026-03-04 10:12:57.643 ERROR [27072] [CommandManager::CServerCommandManager::GetUIParamValueByKey@5699] SDK: GetUIParamValueByKey GetBinaryData failed

2026-03-04 10:12:57.647 ERROR [27072] [CommandRouting::CCommandRoutingDll::ReadBinaryData@287] GetBinaryData fail. nRet = [E0000001]

2026-03-04 10:12:57.647 ERROR [27072] [CommandRouting::ICommandRouting::GetBinaryData@211] ReadBinaryData fail. nRet = [E0000001]

2026-03-04 10:12:57.647 ERROR [27072] [CommandManager::CServerCommandManager::GetUIParamValueByKey@5699] SDK: GetUIParamValueByKey GetBinaryData failed

2026-03-04 10:12:57.648 INFO  [27072] [CommandManager::CServerCommandManager::GetFirstLayerModuleTree@5811] start

2026-03-04 10:12:57.650 INFO  [27072] [CommandManager::CServerCommandManager::GetFirstLayerModuleTree@5892] end

2026-03-04 10:12:57.680 INFO  [27072] [CommandManager::CServerCommandManager::CheckUIParamExist@3943] start

2026-03-04 10:12:57.682 INFO  [27072] [CommandManager::CServerCommandManager::CheckUIParamExist@3951] end

2026-03-04 10:12:57.682 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6529] start

2026-03-04 10:12:57.682 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6688] end

2026-03-04 10:12:57.810 INFO  [27072] [CommandManager::CServerCommandManager::CheckUIParamExist@3943] start

2026-03-04 10:12:57.810 INFO  [27072] [CommandManager::CServerCommandManager::CheckUIParamExist@3951] end

2026-03-04 10:12:57.811 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6529] start

2026-03-04 10:12:57.811 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6688] end

2026-03-04 10:12:57.822 INFO  [27072] [CommandManager::CServerCommandManager::CheckUIParamExist@3943] start

2026-03-04 10:12:57.824 INFO  [27072] [CommandManager::CServerCommandManager::CheckUIParamExist@3951] end

2026-03-04 10:12:57.824 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6529] start

2026-03-04 10:12:57.824 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6688] end

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10823] start.

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10859] end.

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6529] start

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6688] end

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10823] start.

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10859] end.

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6529] start

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6688] end

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10823] start.

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::FuzzyQueryUIParamValue@10859] end.

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6529] start

2026-03-04 10:12:57.825 INFO  [27072] [CommandManager::CServerCommandManager::ReleaseDynamicMemory@6688] end

2026-03-04 10:12:57.827 INFO  [27072] [CommandManager::CServerCommandManager::GetMultiModuEnableState@4199] start

2026-03-04 10:12:57.828 INFO  [27072] [CommandManager::CServerCommandManager::GetMultiModuEnableState@4241] end

