2026-03-04 10:12:51.583 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:50.578 [1] [GlobalScript::Init]  ====================================================V4.4.0 GlobalScript Start Print Log====================================================

2026-03-04 10:55:40.524 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.057 [26] [UserGlobalScriptManger::GetMsgToUI] GetRunState:0

2026-03-04 10:55:40.526 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.057 [26] [GlobalManager::HandleCmd] Receive end:GetMsgToUI

2026-03-04 10:55:40.526 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.149 [1] [GlobalManager::HandleCmd] Receive:LoadSolutionEnd

2026-03-04 10:55:40.526 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.151 [1] [GlobalManager::HandleCmd] Receive end:LoadSolutionEnd

2026-03-04 10:55:40.526 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.151 [6] [UserGlobalScriptManger::loadInitAction] ExecuteLoadInit start

2026-03-04 10:55:41.528 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:41.088 [1] [GlobalManager::HandleCmd] Receive:ExcuteOnce

2026-03-04 10:55:41.528 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:41.088 [1] [GlobalManager::HandleCmd] Receive end:ExcuteOnce

2026-03-04 10:55:41.528 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:41.088 [3] [UserGlobalScriptManger::initSourceAndStartScript] InitSourceEndStartScript already init

2026-03-04 10:55:41.528 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:41.090 [3] [UserGlobalScriptManger::<StartOnce>b__64_0] GlobalScript execute once start

2026-03-04 10:55:41.528 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:41.115 [3] [UserGlobalScriptManger::<StartOnce>b__64_0] GlobalScript execute once end

2026-03-04 10:57:04.929 INFO  [8] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-18676-,2026-03-04 10:57:03.895 [1] [GlobalScript::Init]  ====================================================V4.4.0 GlobalScript Start Print Log====================================================

2026-03-04 10:57:08.986 INFO  [8] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-18676-,2026-03-04 10:57:08.930 [6] [GlobalManager::objLoadDefaultScriptTime_Elapsed] Load default globalScript begin

2026-03-04 10:57:08.986 INFO  [8] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-18676-,2026-03-04 10:57:08.937 [6] [UserGlobalScriptManger::compileGlobalScript] Compile begin

2026-03-04 10:57:09.988 INFO  [8] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-18676-,2026-03-04 10:57:09.176 [6] [UserGlobalScriptSupport::CompileCode] 2026-03-04 10:57:09:176 : Compile complete -- 0 Errors, 0 Warnings 


